3MINDIA,Apr_22_2015,8888.5,8731.75,8418.25,8261.5,313.5,627.0,3.65597667638,7.31195335277
AARTIIND,Apr_22_2015,352.35,346.025,333.375,327.05,12.65,25.3,3.72387400648,7.44774801295
ABAN,Apr_22_2015,453.05,447.275,435.725,429.95,11.55,23.1,2.6160815402,5.23216308041
ABB,Apr_22_2015,1384.6475,1369.94875,1340.55125,1325.8525,29.3975,58.795,2.16915698211,4.33831396421
ABGSHIP,Apr_22_2015,213.935,212.0925,208.4075,206.565,3.685,7.37,1.75267538644,3.50535077289
ABIRLANUVO,Apr_22_2015,1694.1275,1673.21375,1631.38625,1610.4725,41.8275,83.655,2.53147128245,5.06294256491
ACC,Apr_22_2015,1600.515,1579.2575,1536.7425,1515.485,42.515,85.03,2.72881899872,5.45763799743
ADANIENT,Apr_22_2015,674.1325,668.86625,658.33375,653.0675,10.5325,21.065,1.58717600964,3.17435201929
ADANIPORTS,Apr_22_2015,321.925,318.2125,310.7875,307.075,7.425,14.85,2.36089030207,4.72178060413
ADANIPOWER,Apr_22_2015,46.12,45.735,44.965,44.58,0.77,1.54,1.69790518192,3.39581036384
ADVANTA,Apr_22_2015,525.0225,517.06125,501.13875,493.1775,15.9225,31.845,3.12757807896,6.25515615793
AIAENG,Apr_22_2015,1187.0225,1180.98625,1168.91375,1162.8775,12.0725,24.145,1.02749053151,2.05498106302
AIL,Apr_22_2015,745.75,741.9,734.2,730.35,7.7,15.4,1.04328975002,2.08657950003
AKZOINDIA,Apr_22_2015,1441.25,1437.125,1428.875,1424.75,8.25,16.5,0.575715282624,1.15143056525
ALBK,Apr_22_2015,104.98,103.99,102.01,101.02,1.98,3.96,1.92233009709,3.84466019417
ALLCARGO,Apr_22_2015,345.6875,339.84375,328.15625,322.3125,11.6875,23.375,3.49925149701,6.99850299401
ALOKTEXT,Apr_22_2015,7.915,7.8325,7.6675,7.585,0.165,0.33,2.12903225806,4.25806451613
ALSTOMT&D,Apr_22_2015,567.05,558.525,541.475,532.95,17.05,34.1,3.1,6.2
AMARAJABAT,Apr_22_2015,839.1225,835.56125,828.43875,824.8775,7.1225,14.245,0.856069711538,1.71213942308
AMBUJACEM,Apr_22_2015,246.7975,244.74875,240.65125,238.6025,4.0975,8.195,1.68829831067,3.37659662134
AMTEKAUTO,Apr_22_2015,166.6175,164.45875,160.14125,157.9825,4.3175,8.635,2.66019716574,5.32039433148
ANDHRABANK,Apr_22_2015,81.285,79.9925,77.4075,76.115,2.585,5.17,3.28462515883,6.56925031766
ANSALAPI,Apr_22_2015,24.9075,24.45375,23.54625,23.0925,0.9075,1.815,3.78125,7.5625
APOLLOHOSP,Apr_22_2015,1297.685,1279.3425,1242.6575,1224.315,36.685,73.37,2.90919904837,5.81839809675
APOLLOTYRE,Apr_22_2015,177.12,175.635,172.665,171.18,2.97,5.94,1.70542635659,3.41085271318
APTECHT,Apr_22_2015,62.18,61.465,60.035,59.32,1.43,2.86,2.35390946502,4.70781893004
ARVIND,Apr_22_2015,272.645,269.0975,262.0025,258.455,7.095,14.19,2.67181321785,5.3436264357
ASAHIINDIA,Apr_22_2015,133.67,131.36,126.74,124.43,4.62,9.24,3.58000774893,7.16001549787
ASHOKLEY,Apr_22_2015,72.1875,71.56875,70.33125,69.7125,1.2375,2.475,1.74418604651,3.48837209302
ASIANPAINT,Apr_22_2015,808.34,798.22,777.98,767.86,20.24,40.48,2.56820200482,5.13640400964
ASTRAZEN,Apr_22_2015,929.3,921.325,905.375,897.4,15.95,31.9,1.74631849784,3.49263699568
ATFL,Apr_22_2015,645.5775,642.26375,635.63625,632.3225,6.6275,13.255,1.037248611,2.074497222
ATUL,Apr_22_2015,1306.55,1300.775,1289.225,1283.45,11.55,23.1,0.891891891892,1.78378378378
AUROPHARMA,Apr_22_2015,1380.395,1371.3475,1353.2525,1344.205,18.095,36.19,1.32826836967,2.65653673934
AUTOAXLES,Apr_22_2015,774.92,768.21,754.79,748.08,13.42,26.84,1.76231122784,3.52462245568
AUTOIND,Apr_22_2015,63.6525,62.95125,61.54875,60.8475,1.4025,2.805,2.25301204819,4.50602409639
AXISBANK,Apr_22_2015,555.535,548.7425,535.1575,528.365,13.585,27.17,2.50668880893,5.01337761786
BAJAJ-AUTO,Apr_22_2015,2035.1,2012.55,1967.45,1944.9,45.1,90.2,2.26633165829,4.53266331658
BAJAJELEC,Apr_22_2015,249.645,245.8225,238.1775,234.355,7.645,15.29,3.15909090909,6.31818181818
BAJAJFINSV,Apr_22_2015,1357.7825,1342.89125,1313.10875,1298.2175,29.7825,59.565,2.24265813253,4.48531626506
BAJAJHIND,Apr_22_2015,16.54,16.32,15.88,15.66,0.44,0.88,2.73291925466,5.46583850932
BAJAJHLDNG,Apr_22_2015,1279.4125,1276.45625,1270.54375,1267.5875,5.9125,11.825,0.464271692187,0.928543384374
