3MINDIA,3x
AARTIIND,3x
ABAN,3x
ABB,3x
ABGSHIP,3x
ABIRLANUVO,9x
ACC,9x
ADANIENT,8x
ADANIPORTS,9x
ADANIPOWER,9x
ADVANTA,3x
AIAENG,3x
AIL,3x
AKZOINDIA,3x
ALBK,9x
ALLCARGO,3x
ALOKTEXT,3x
ALSTOMT&D,3x
AMARAJABAT,3x
AMBUJACEM,9x
AMTEKAUTO,3x
ANDHRABANK,9x
ANSALAPI,3x
APOLLOHOSP,7x
APOLLOTYRE,3x
APTECHT,3x
ARVIND,9x
ASAHIINDIA,3x
ASHOKLEY,8x
ASIANPAINT,9x
ASTRAZEN,3x
ATFL,3x
ATUL,3x
AUROPHARMA,3x
AUTOAXLES,3x
AUTOIND,3x
AXISBANK,9x
BAJAJ-AUTO,9x
BAJAJELEC,3x
BAJAJFINSV,3x
BAJAJHIND,3x
BAJAJHLDNG,3x
BAJFINANCE,3x
BALKRISIND,3x
BALRAMCHIN,3x
BANCOINDIA,3x
BANKBARODA,9x
BANKBEES,10x
BANKINDIA,9x
BASF,3x
BATAINDIA,9x
BEML,3x
BGRENERGY,3x
BHARATFORG,9x
BHARTIARTL,9x
BHEL,9x
BIOCON,8x
BOSCHLTD,3x
BPCL,9x
BRITANNIA,3x
CADILAHC,3x
CAIRN,9x
CANBK,9x
CASTROLIND,3x
CENTURYTEX,9x
CESC,7x
CHAMBLFERT,9x
CIPLA,9x
COALINDIA,9x
COLPAL,9x
COREEDUTEC,3x
COROMANDEL,3x
COX&KINGS,3x
CROMPGREAV,8x
CUMMINSIND,3x
DABUR,9x
DBCORP,3x
DBREALTY,3x
DELTACORP,3x
DENABANK,9x
DISHTV,9x
DIVISLAB,9x
DLF,3x
DRREDDY,9x
EDUCOMP,3x
EICHERMOT,3x
ESCORTS,3x
ESSAROIL,3x
EVEREADY,3x
EXIDEIND,9x
FEDERALBNK,9x
FORTIS,3x
FRL,3x
GAIL,9x
GESHIP,3x
GILLETTE,3x
GLAXO,3x
GLENMARK,8x
GMRINFRA,3x
GODREJIND,7x
GODREJPROP,3x
GOLDBEES,10x
GRASIM,8x
GSKCONS,8x
GSPL,3x
GUJFLUORO,3x
HAVELLS,9x
HCLTECH,9x
HDFC,9x
HDFCBANK,9x
HDIL,3x
HEROMOTOCO,9x
HEXAWARE,9x
HINDALCO,9x
HINDCOPPER,3x
HINDPETRO,9x
HINDUNILVR,9x
HINDZINC,9x
HOTELEELA,3x
IBREALEST,6x
ICICIBANK,9x
IDBI,9x
IDEA,9x
IDFC,9x
IFCI,8x
IGL,9x
INDHOTEL,3x
INDIACEM,8x
INDUSINDBK,9x
INFY,9x
IOB,9x
IOC,9x
IRB,6x
ITC,9x
JINDALSTEL,3x
JISLJALEQS,9x
JKCEMENT,3x
JPASSOCIAT,3x
JPPOWER,7x
JSWENERGY,9x
JSWSTEEL,9x
JUBLFOOD,9x
JUSTDIAL,3x
JYOTHYLAB,3x
KALINDEE,3x
KARURVYSYA,3x
KOTAKBANK,9x
KPIT,3x
KTKBANK,3x
L&TFH,3x
LICHSGFIN,9x
LINDEINDIA,3x
LIQUIDBEES,10x
LOVABLE,3x
LT,9x
LUPIN,9x
M&M,9x
M&MFIN,9x
M100,3x
M50,3x
MARICO,3x
MARUTI,9x
MCDOWELL-N,3x
MCLEODRUSS,9x
MERCATOR,3x
MINDTREE,3x
MOSERBAER,3x
MOTHERSUMI,3x
MPHASIS,3x
MRF,9x
MRPL,3x
NAUKRI,3x
NHPC,9x
NIFTYBEES,10x
NMDC,9x
NTPC,9x
OFSS,9x
OIL,3x
ONGC,9x
ORIENTBANK,8x
PEL,3x
PETRONET,9x
PFC,9x
PNB,9x
POLARIS,3x
POWERGRID,9x
PTC,9x
RAYMOND,9x
RCOM,7x
RECLTD,9x
RELCAPITAL,9x
RELIANCE,9x
RELINFRA,9x
RENUKA,9x
ROLTA,3x
RPOWER,9x
SAIL,9x
SBIN,9x
SIEMENS,9x
SKSMICRO,3x
SRTRANSFIN,9x
SSLT,9x
STAR,3x
SUNPHARMA,9x
SUNTV,7x
SYNDIBANK,9x
TATACHEM,9x
TATACOFFEE,3x
TATACOMM,9x
TATAGLOBAL,7x
TATAMOTORS,9x
TATAMTRDVR,9x
TATAPOWER,9x
TATASTEEL,9x
TCS,9x
TECHM,9x
TITAN,9x
TORNTPHARM,3x
TORNTPOWER,3x
TTML,3x
TVSMOTOR,3x
UBL,9x
UCOBANK,9x
ULTRACEMCO,9x
UNIONBANK,7x
UNITECH,5x
UPL,9x
VIDEOIND,3x
VIJAYABANK,9x
VIPIND,3x
VOLTAS,9x
WELCORP,3x
WIPRO,9x
YESBANK,9x
ZEEL,9x
