May 15, 2015,143.30,147.00,143.00,144.55,
May 14, 2015,145.00,146.25,139.00,143.85,
May 13, 2015,130.60,144.00,130.60,143.95,
May 12, 2015,130.70,131.95,129.50,130.60,
May 11, 2015,129.50,132.70,129.50,132.00,
May 8, 2015,127.90,131.85,127.90,129.00,
May 7, 2015,130.05,132.50,124.00,127.00,
May 6, 2015,136.70,136.70,130.05,130.95,
May 5, 2015,135.20,139.85,135.00,135.50,
May 4, 2015,133.90,137.45,133.90,134.65,
Apr 30, 2015,133.20,133.20,129.20,133.20,
Apr 29, 2015,130.05,132.95,128.20,131.00,
Apr 28, 2015,127.95,131.90,125.60,131.45,
Apr 27, 2015,124.00,128.00,121.25,128.00,
Apr 24, 2015,128.00,129.45,121.75,123.25,
Apr 23, 2015,131.90,131.90,126.10,128.80,
Apr 22, 2015,136.00,136.95,128.55,129.05,
Apr 21, 2015,137.00,137.65,133.15,136.85,
Apr 20, 2015,137.95,139.00,133.50,134.00,
Apr 17, 2015,140.00,141.45,136.60,138.00,
Apr 16, 2015,141.00,141.05,136.20,138.75,
Apr 15, 2015,141.95,142.25,139.50,140.00,
Apr 13, 2015,141.55,144.00,141.50,142.05,
Apr 10, 2015,138.25,143.90,138.10,141.70,
Apr 9, 2015,140.00,140.00,136.90,138.85,
Apr 8, 2015,139.55,140.80,138.00,139.65,
Apr 7, 2015,140.00,141.50,136.00,138.00,
Apr 6, 2015,142.00,142.30,136.40,138.50,
Apr 1, 2015,145.00,145.00,141.00,142.80,
Mar 31, 2015,147.80,148.00,144.00,144.50,
Mar 30, 2015,137.95,151.65,136.20,145.50,
Mar 27, 2015,135.55,137.90,134.15,137.05,
Mar 26, 2015,137.80,137.80,133.10,136.05,
