Jul 7, 2015,585.30,590.75,581.35,586.70,
Jul 6, 2015,575.50,585.80,573.50,585.40,
Jul 3, 2015,581.85,588.50,581.00,586.90,
Jul 2, 2015,580.10,586.65,576.10,583.50,
Jul 1, 2015,558.80,580.50,556.85,579.65,
Jun 30, 2015,561.05,566.00,553.00,558.00,
Jun 29, 2015,554.00,567.30,546.00,565.95,
Jun 26, 2015,568.10,569.70,560.00,565.80,
Jun 25, 2015,568.10,577.90,567.05,570.00,
Jun 24, 2015,572.00,577.40,567.20,569.25,
Jun 23, 2015,575.60,579.50,566.30,571.00,
Jun 22, 2015,556.55,575.90,556.55,572.00,
Jun 19, 2015,554.00,555.40,548.25,554.05,
Jun 18, 2015,551.70,554.80,547.40,551.00,
Jun 17, 2015,553.10,557.40,547.60,549.15,
Jun 16, 2015,550.00,553.95,540.05,553.90,
Jun 15, 2015,553.90,555.00,545.35,550.00,
Jun 12, 2015,547.00,552.50,540.80,551.90,
Jun 11, 2015,567.90,570.20,545.05,546.00,
Jun 10, 2015,558.90,567.70,558.85,564.50,
Jun 9, 2015,552.05,564.00,550.45,557.10,
Jun 8, 2015,547.00,557.50,544.00,552.75,
Jun 5, 2015,556.00,557.25,546.05,546.60,
Jun 4, 2015,560.00,560.00,546.00,556.25,
Jun 3, 2015,553.25,554.00,538.55,552.10,
Jun 2, 2015,582.00,582.40,548.40,552.75,
Jun 1, 2015,586.90,588.90,577.10,578.60,
May 29, 2015,575.50,587.30,574.70,585.30,
May 28, 2015,578.95,585.80,570.40,576.40,
May 27, 2015,562.00,579.50,561.25,577.10,
May 26, 2015,563.00,566.80,558.20,566.00,
May 25, 2015,568.10,569.75,560.20,561.95,
May 22, 2015,571.30,576.65,563.75,567.00,
May 21, 2015,560.00,572.00,560.00,569.55,
May 20, 2015,562.75,566.85,556.50,558.30,
May 19, 2015,566.00,570.90,558.60,560.45,
May 18, 2015,563.30,569.85,558.65,568.00,
May 15, 2015,558.50,567.30,557.00,561.60,
May 14, 2015,557.40,558.80,547.50,555.30,
May 13, 2015,538.00,564.20,535.20,558.85,
May 12, 2015,553.00,553.90,529.90,531.10,
May 11, 2015,545.50,552.00,543.10,550.40,
May 8, 2015,535.75,548.00,533.50,539.80,
May 7, 2015,539.65,544.80,523.30,526.10,
May 6, 2015,564.05,565.90,541.20,543.00,
May 5, 2015,569.00,574.25,562.50,564.60,
May 4, 2015,571.40,576.00,562.80,568.00,
Apr 30, 2015,563.30,582.40,559.00,570.00,
Apr 29, 2015,535.90,559.90,535.25,558.55,
Apr 28, 2015,523.90,539.45,519.10,533.15,
Apr 27, 2015,529.40,540.75,522.35,524.00,
Apr 24, 2015,538.00,538.25,519.90,524.15,
Apr 23, 2015,543.25,548.70,535.55,537.10,
Apr 22, 2015,526.95,545.00,520.30,541.95,
Apr 21, 2015,518.25,532.70,516.55,523.20,
Apr 20, 2015,534.10,538.25,507.00,521.20,
Apr 17, 2015,550.00,550.35,531.80,534.30,
Apr 16, 2015,552.00,556.40,543.05,549.70,
Apr 15, 2015,566.90,573.50,541.35,549.70,
Apr 13, 2015,570.00,571.65,562.00,565.35,
Apr 10, 2015,573.40,574.80,565.40,566.50,
Apr 9, 2015,560.00,577.00,555.10,571.60,
Apr 8, 2015,561.80,564.00,551.10,556.00,
Apr 7, 2015,571.00,573.00,555.00,559.05,
Apr 6, 2015,571.95,571.95,562.10,568.00,
Apr 1, 2015,557.70,572.00,555.25,569.80,
Mar 31, 2015,567.90,573.50,557.25,558.00,
Mar 30, 2015,552.50,565.45,549.35,565.45,
Mar 27, 2015,548.00,551.25,526.10,546.95,
Mar 26, 2015,560.00,561.45,537.50,545.50,
