May 12, 2015,249.50,256.00,246.60,250.05,
May 11, 2015,245.10,251.95,243.00,250.50,
May 8, 2015,235.00,247.00,232.80,246.00,
May 7, 2015,229.50,236.70,229.50,234.45,
May 6, 2015,236.00,236.00,225.55,230.00,
May 5, 2015,234.95,235.30,232.55,234.10,
May 4, 2015,231.00,234.30,230.55,233.95,
Apr 30, 2015,241.30,242.00,227.55,231.25,
Apr 29, 2015,242.00,244.95,239.15,239.75,
Apr 28, 2015,249.00,257.00,239.55,240.75,
Apr 27, 2015,255.00,255.00,245.05,246.00,
Apr 24, 2015,254.70,254.80,250.25,254.00,
Apr 23, 2015,256.70,276.70,251.70,252.00,
Apr 22, 2015,256.00,256.95,252.10,254.75,
Apr 21, 2015,257.40,257.40,254.40,256.15,
Apr 20, 2015,259.35,259.80,252.95,255.60,
Apr 17, 2015,259.00,260.75,257.00,257.50,
Apr 16, 2015,261.70,262.65,257.30,259.00,
Apr 15, 2015,264.50,264.95,260.50,261.00,
Apr 13, 2015,265.90,269.45,261.20,264.00,
Apr 10, 2015,265.00,270.00,262.20,265.85,
Apr 9, 2015,268.50,268.50,262.20,265.00,
Apr 8, 2015,268.00,269.90,265.50,266.90,
Apr 7, 2015,268.00,268.75,262.60,264.15,
Apr 6, 2015,273.40,273.40,265.60,265.70,
Apr 1, 2015,268.50,271.35,266.15,267.85,
Mar 31, 2015,267.00,270.40,263.55,266.00,
Mar 30, 2015,262.00,270.85,258.15,269.90,
Mar 27, 2015,267.50,267.90,260.30,264.00,
Mar 26, 2015,259.15,270.90,259.10,265.10,
