May 12, 2015,19.60,19.70,18.55,18.75,
May 11, 2015,19.40,19.85,19.10,19.65,
May 8, 2015,19.00,19.65,18.90,19.30,
May 7, 2015,19.55,19.90,18.35,18.85,
May 6, 2015,20.90,20.95,19.60,19.70,
May 5, 2015,21.30,21.45,20.65,20.95,
May 4, 2015,21.00,21.40,20.90,21.20,
Apr 30, 2015,20.60,20.90,20.15,20.90,
Apr 29, 2015,20.85,21.20,20.40,20.45,
Apr 28, 2015,21.20,21.35,20.20,20.75,
Apr 27, 2015,23.00,23.10,20.95,21.00,
Apr 24, 2015,24.45,24.50,22.60,22.85,
Apr 23, 2015,24.60,24.80,24.10,24.25,
Apr 22, 2015,24.40,24.65,23.75,24.55,
Apr 21, 2015,24.10,24.55,24.05,24.15,
Apr 20, 2015,24.65,24.90,24.00,24.05,
Apr 17, 2015,24.55,25.05,24.50,24.55,
Apr 16, 2015,25.80,25.90,24.50,24.65,
Apr 15, 2015,26.15,26.60,25.50,25.65,
Apr 13, 2015,26.40,26.55,25.90,26.10,
Apr 10, 2015,25.60,26.70,25.50,26.25,
Apr 9, 2015,25.65,26.05,25.35,25.65,
Apr 8, 2015,25.45,26.30,25.15,25.50,
Apr 7, 2015,25.50,25.55,24.80,25.20,
Apr 6, 2015,25.00,25.60,24.40,25.30,
Apr 1, 2015,24.80,25.25,24.60,25.05,
Mar 31, 2015,25.35,25.45,24.70,24.80,
Mar 30, 2015,24.70,25.35,24.65,25.10,
Mar 27, 2015,24.10,24.80,23.40,24.60,
Mar 26, 2015,23.70,24.35,23.60,23.95,
