Jul 7, 2015,440.10,456.90,440.10,452.50,
Jul 6, 2015,439.65,447.80,437.30,445.00,
Jul 3, 2015,445.40,453.00,441.25,445.00,
Jul 2, 2015,440.90,450.95,440.55,446.00,
Jul 1, 2015,447.00,450.40,435.00,441.00,
Jun 30, 2015,425.50,444.95,421.50,443.65,
Jun 29, 2015,423.10,424.00,415.00,423.00,
Jun 26, 2015,421.30,427.35,411.75,425.00,
Jun 25, 2015,425.00,427.95,420.10,424.25,
Jun 24, 2015,433.50,434.55,423.25,423.95,
Jun 23, 2015,432.60,437.00,431.45,433.00,
Jun 22, 2015,430.80,436.80,429.50,431.95,
Jun 19, 2015,436.00,437.40,427.55,431.40,
Jun 18, 2015,432.00,439.55,428.95,434.90,
Jun 17, 2015,430.10,432.10,424.20,430.00,
Jun 16, 2015,420.50,433.00,420.05,426.90,
Jun 15, 2015,411.95,421.90,410.40,411.50,
Jun 12, 2015,404.50,414.75,403.50,414.00,
Jun 11, 2015,412.90,413.10,402.25,406.00,
Jun 10, 2015,400.00,414.30,400.00,409.00,
Jun 9, 2015,400.00,403.50,395.50,401.20,
Jun 8, 2015,405.95,409.05,394.50,400.00,
Jun 5, 2015,404.00,412.00,402.00,404.75,
Jun 4, 2015,414.00,414.00,402.75,404.95,
Jun 3, 2015,429.90,429.90,400.10,409.65,
Jun 2, 2015,434.00,434.00,425.55,426.50,
Jun 1, 2015,436.00,439.40,431.25,434.00,
May 29, 2015,430.00,439.80,427.50,436.05,
May 28, 2015,437.90,438.55,428.60,431.05,
May 27, 2015,442.50,444.95,428.60,438.00,
May 26, 2015,442.55,449.30,442.10,445.80,
May 25, 2015,440.00,444.85,438.50,440.90,
May 22, 2015,437.00,447.30,437.00,439.00,
May 21, 2015,438.50,442.00,435.60,438.00,
May 20, 2015,440.65,443.80,435.70,437.00,
May 19, 2015,437.20,441.80,434.85,439.45,
May 18, 2015,434.30,443.00,432.05,435.00,
May 15, 2015,432.30,439.50,431.40,432.15,
May 14, 2015,428.90,438.50,422.75,430.80,
May 13, 2015,428.00,432.35,419.45,431.00,
May 12, 2015,436.00,436.00,421.50,423.25,
May 11, 2015,429.10,433.65,426.00,429.55,
May 8, 2015,422.10,432.50,422.10,428.00,
May 7, 2015,439.00,439.70,407.00,419.15,
May 6, 2015,440.80,453.25,433.00,438.00,
May 5, 2015,438.10,449.05,437.60,442.95,
May 4, 2015,438.15,443.80,431.65,438.20,
Apr 30, 2015,434.30,439.35,428.25,437.00,
Apr 29, 2015,446.70,449.05,432.10,432.90,
Apr 28, 2015,435.00,447.25,433.30,445.90,
Apr 27, 2015,441.00,442.25,430.25,436.20,
Apr 24, 2015,453.85,453.85,437.55,443.00,
Apr 23, 2015,456.15,460.80,449.25,451.05,
Apr 22, 2015,454.80,458.35,441.00,451.90,
Apr 21, 2015,458.00,463.00,441.95,452.55,
Apr 20, 2015,476.70,476.70,452.60,456.00,
Apr 17, 2015,480.90,490.50,470.55,473.70,
Apr 16, 2015,491.85,497.45,475.50,481.05,
Apr 15, 2015,461.00,505.80,457.10,490.00,
Apr 13, 2015,451.00,466.60,451.00,464.60,
Apr 10, 2015,456.50,456.50,446.25,452.00,
Apr 9, 2015,437.00,465.95,433.30,451.70,
Apr 8, 2015,425.00,432.00,419.00,429.00,
Apr 7, 2015,425.00,426.50,417.30,421.80,
Apr 6, 2015,430.15,430.30,421.80,424.50,
Apr 1, 2015,421.40,432.50,420.60,425.45,
Mar 31, 2015,417.00,423.90,413.05,423.00,
Mar 30, 2015,407.00,416.95,404.30,416.00,
Mar 27, 2015,406.00,409.95,388.60,406.90,
Mar 26, 2015,405.00,409.15,399.90,404.50,
