Jul 6, 2015,255.95,265.85,252.30,265.00,
Jul 3, 2015,258.45,262.40,256.00,257.00,
Jul 2, 2015,251.00,259.70,249.05,257.10,
Jul 1, 2015,245.25,247.95,242.95,245.25,
Jun 30, 2015,243.00,245.65,239.35,244.20,
Jun 29, 2015,240.00,243.20,235.00,242.75,
Jun 26, 2015,238.60,247.40,236.55,246.90,
Jun 25, 2015,239.75,243.45,237.40,239.15,
Jun 24, 2015,243.50,243.75,235.80,240.30,
Jun 23, 2015,246.35,248.00,241.80,242.20,
Jun 22, 2015,241.00,246.85,240.95,244.90,
Jun 19, 2015,232.50,241.10,232.50,241.00,
Jun 18, 2015,230.75,236.45,230.25,231.75,
Jun 17, 2015,228.65,233.25,228.00,232.00,
Jun 16, 2015,226.10,228.90,222.75,227.60,
Jun 15, 2015,225.75,227.95,222.80,226.10,
Jun 12, 2015,226.85,228.50,219.05,228.05,
Jun 11, 2015,227.00,233.30,225.00,227.70,
Jun 10, 2015,219.00,225.70,218.10,223.10,
Jun 9, 2015,216.90,220.30,214.50,218.30,
Jun 8, 2015,223.50,224.40,216.40,219.15,
Jun 5, 2015,224.95,227.30,221.80,222.10,
Jun 4, 2015,221.70,227.90,217.75,226.05,
Jun 3, 2015,224.00,226.40,214.90,224.60,
Jun 2, 2015,237.00,238.90,217.65,225.20,
Jun 1, 2015,235.00,240.40,235.00,235.70,
May 29, 2015,237.00,239.95,233.90,237.00,
May 28, 2015,236.30,241.50,234.50,237.50,
May 27, 2015,231.35,239.50,231.35,235.95,
May 26, 2015,230.60,235.75,229.80,234.50,
May 25, 2015,227.50,233.30,226.10,229.90,
May 22, 2015,230.70,231.25,225.10,228.50,
May 21, 2015,221.60,232.80,218.00,229.40,
May 20, 2015,223.00,224.30,219.40,219.95,
May 19, 2015,223.80,225.80,221.00,221.80,
May 18, 2015,222.70,225.00,219.10,224.50,
May 15, 2015,225.40,227.00,219.50,222.00,
May 14, 2015,218.00,224.90,215.35,224.00,
May 13, 2015,224.20,227.30,217.20,220.50,
May 12, 2015,228.00,230.90,221.50,223.00,
May 11, 2015,222.30,227.90,222.00,227.05,
May 8, 2015,220.00,226.50,217.20,221.80,
May 7, 2015,225.00,225.50,208.40,216.65,
May 6, 2015,238.75,238.75,224.75,226.75,
May 5, 2015,249.90,249.95,238.10,239.45,
May 4, 2015,239.85,250.60,236.10,250.00,
Apr 30, 2015,240.00,241.25,234.00,236.10,
Apr 29, 2015,229.00,240.00,227.55,239.20,
Apr 28, 2015,230.00,231.05,224.10,227.15,
Apr 27, 2015,233.80,235.70,220.60,233.50,
Apr 24, 2015,233.55,236.45,226.80,234.00,
Apr 23, 2015,238.80,243.35,230.60,233.00,
Apr 22, 2015,239.50,240.90,232.30,240.05,
Apr 21, 2015,233.95,241.65,225.65,237.50,
Apr 20, 2015,245.45,248.00,230.90,233.70,
Apr 17, 2015,242.30,249.35,237.25,245.70,
Apr 16, 2015,252.00,252.45,242.40,245.20,
Apr 15, 2015,256.00,257.70,250.40,250.70,
Apr 13, 2015,258.50,260.90,253.50,254.00,
Apr 10, 2015,251.00,258.00,251.00,256.45,
Apr 9, 2015,252.90,253.70,248.70,250.65,
Apr 8, 2015,257.00,258.80,249.75,250.70,
Apr 7, 2015,251.20,258.50,251.20,256.00,
Apr 6, 2015,256.85,257.30,247.60,252.80,
Apr 1, 2015,262.00,263.30,252.60,255.90,
Mar 31, 2015,267.50,269.00,261.00,263.50,
Mar 30, 2015,273.50,274.30,262.55,267.75,
Mar 27, 2015,271.00,274.45,266.00,271.20,
Mar 26, 2015,259.00,272.00,258.00,270.00,
