May 13, 2015,83.20,83.60,82.00,83.50,
May 12, 2015,83.00,84.35,82.00,83.00,
May 11, 2015,81.25,84.70,81.25,82.75,
May 8, 2015,84.70,84.70,79.70,81.15,
May 7, 2015,83.80,83.80,79.90,81.15,
May 6, 2015,84.80,87.75,81.80,83.05,
May 5, 2015,84.40,85.00,82.10,84.80,
May 4, 2015,84.80,87.00,81.20,84.00,
Apr 30, 2015,83.90,92.45,81.55,84.50,
Apr 29, 2015,70.65,78.00,70.65,78.00,
Apr 28, 2015,54.15,65.00,54.15,65.00,
Apr 27, 2015,57.10,57.75,53.85,54.25,
Apr 24, 2015,59.05,59.05,57.10,57.25,
Apr 23, 2015,57.15,59.40,57.15,58.70,
Apr 22, 2015,58.35,59.90,56.30,57.80,
Apr 21, 2015,58.35,59.95,58.25,58.50,
Apr 20, 2015,58.50,58.50,56.10,57.50,
Apr 17, 2015,58.40,59.20,57.30,57.50,
Apr 16, 2015,57.60,59.40,56.65,58.90,
Apr 15, 2015,60.15,61.50,58.00,58.70,
Apr 13, 2015,59.75,62.90,59.75,60.85,
Apr 10, 2015,57.45,60.25,57.40,59.30,
Apr 9, 2015,57.60,59.50,57.00,57.10,
Apr 8, 2015,56.70,58.75,56.70,57.50,
Apr 7, 2015,55.75,56.95,55.55,56.75,
Apr 6, 2015,56.90,57.00,54.65,56.20,
Apr 1, 2015,53.15,56.95,53.15,56.30,
Mar 31, 2015,53.70,55.00,53.65,53.80,
Mar 30, 2015,53.05,54.50,52.00,53.80,
Mar 27, 2015,53.05,57.45,52.15,52.35,
Mar 26, 2015,54.80,54.80,52.00,52.70,
