May 12, 2015,542.50,544.40,530.65,534.25,
May 11, 2015,542.95,544.30,537.10,542.00,
May 8, 2015,541.10,544.50,536.10,540.00,
May 7, 2015,531.00,542.70,525.10,538.80,
May 6, 2015,543.75,543.75,529.45,532.70,
May 5, 2015,545.05,548.35,541.25,544.55,
May 4, 2015,539.10,544.60,534.55,544.00,
Apr 30, 2015,537.05,542.05,533.75,539.05,
Apr 29, 2015,533.00,546.70,530.20,541.75,
Apr 28, 2015,533.00,537.55,525.00,531.00,
Apr 27, 2015,528.60,535.75,518.15,531.80,
Apr 24, 2015,535.55,538.65,512.50,531.00,
Apr 23, 2015,548.95,548.95,532.55,533.05,
Apr 22, 2015,562.00,563.25,542.00,543.85,
Apr 21, 2015,568.00,588.40,550.55,588.00,
Apr 20, 2015,586.85,591.05,570.50,570.50,
Apr 17, 2015,596.05,596.70,585.00,587.50,
Apr 16, 2015,607.00,608.20,590.05,602.60,
Apr 15, 2015,623.00,623.00,600.75,606.45,
Apr 13, 2015,618.90,625.75,614.85,624.15,
Apr 10, 2015,620.25,621.90,614.55,618.45,
Apr 9, 2015,621.50,624.30,612.05,616.55,
Apr 8, 2015,614.00,623.00,613.10,616.15,
Apr 7, 2015,623.40,627.90,609.15,615.15,
Apr 6, 2015,628.95,628.95,617.40,620.35,
Apr 1, 2015,623.40,636.45,620.20,632.00,
Mar 31, 2015,623.05,634.60,618.20,627.10,
Mar 30, 2015,620.00,624.95,616.20,624.85,
Mar 27, 2015,639.70,641.60,608.55,611.80,
Mar 26, 2015,657.90,657.90,625.20,635.00,
