Jul 6, 2015,367.00,374.65,366.65,374.50,
Jul 3, 2015,368.00,370.80,367.20,370.20,
Jul 2, 2015,363.85,371.40,363.80,368.05,
Jul 1, 2015,367.90,368.95,362.05,364.50,
Jun 30, 2015,354.60,369.40,354.60,369.40,
Jun 29, 2015,346.00,357.75,346.00,355.00,
Jun 26, 2015,358.00,360.90,354.00,358.55,
Jun 25, 2015,355.00,362.25,352.00,359.85,
Jun 24, 2015,345.90,358.95,344.70,357.00,
Jun 23, 2015,345.35,347.20,338.85,344.50,
Jun 22, 2015,343.60,346.95,338.80,344.55,
Jun 19, 2015,347.80,349.25,339.00,340.45,
Jun 18, 2015,348.65,353.75,345.25,345.25,
Jun 17, 2015,346.80,352.75,341.55,351.00,
Jun 16, 2015,338.25,347.00,334.60,345.80,
Jun 15, 2015,334.00,340.00,331.25,339.00,
Jun 12, 2015,335.75,336.10,330.65,335.60,
Jun 11, 2015,337.95,340.10,330.20,334.55,
Jun 10, 2015,330.00,336.90,326.50,335.15,
Jun 9, 2015,332.00,334.95,325.00,327.80,
Jun 8, 2015,338.00,341.90,331.30,331.50,
Jun 5, 2015,324.00,338.00,320.70,335.20,
Jun 4, 2015,323.00,327.60,320.00,325.80,
Jun 3, 2015,328.90,332.45,318.00,322.60,
Jun 2, 2015,318.65,330.00,318.65,328.50,
Jun 1, 2015,323.00,323.50,319.00,320.55,
May 29, 2015,320.60,326.00,318.05,323.60,
May 28, 2015,322.40,322.40,317.45,317.85,
May 27, 2015,318.00,322.25,316.15,320.10,
May 26, 2015,320.30,320.95,316.25,319.30,
May 25, 2015,318.90,321.50,315.20,319.90,
May 22, 2015,319.90,322.65,317.10,319.10,
May 21, 2015,317.95,323.50,312.05,316.05,
May 20, 2015,317.95,320.25,313.60,319.00,
May 19, 2015,312.90,320.20,312.15,316.10,
May 18, 2015,301.15,314.10,300.00,312.35,
May 15, 2015,306.15,306.15,299.50,302.00,
May 14, 2015,305.00,306.05,301.00,304.80,
May 13, 2015,312.00,312.00,301.50,305.00,
May 12, 2015,318.60,318.60,304.90,307.20,
May 11, 2015,310.10,319.40,310.10,316.95,
May 8, 2015,312.25,314.65,308.10,308.10,
May 7, 2015,310.35,312.40,308.00,309.10,
May 6, 2015,315.00,315.00,307.50,313.50,
May 5, 2015,319.50,321.45,312.80,315.85,
May 4, 2015,314.00,321.90,313.95,321.00,
Apr 30, 2015,317.90,319.00,311.00,313.00,
Apr 29, 2015,319.10,324.50,319.00,322.00,
Apr 28, 2015,322.00,323.45,315.25,320.05,
Apr 27, 2015,321.20,325.30,319.40,324.50,
Apr 24, 2015,328.90,331.40,319.05,319.50,
Apr 23, 2015,322.45,330.65,322.00,328.45,
Apr 22, 2015,326.50,330.25,313.40,321.20,
Apr 21, 2015,327.90,333.50,325.00,325.75,
Apr 20, 2015,337.25,337.50,325.05,330.00,
Apr 17, 2015,338.05,339.85,333.55,337.65,
Apr 16, 2015,343.75,343.75,335.20,340.40,
Apr 15, 2015,344.30,350.90,342.50,343.35,
Apr 13, 2015,350.40,350.40,342.95,346.50,
Apr 10, 2015,356.50,356.80,345.00,348.20,
Apr 9, 2015,343.00,358.10,342.00,355.65,
Apr 8, 2015,336.45,342.25,336.45,341.25,
Apr 7, 2015,339.95,339.95,333.10,335.15,
Apr 6, 2015,343.85,344.85,336.60,338.45,
Apr 1, 2015,341.60,344.25,339.60,340.95,
Mar 31, 2015,344.00,344.00,336.65,341.60,
Mar 30, 2015,338.80,344.75,336.70,344.00,
Mar 27, 2015,341.25,342.00,331.00,338.00,
Mar 26, 2015,347.50,352.30,337.10,340.50,
